timestamp,path,status_code,content_type,bytes,width,height
20260525_014818,data/raw/captcha_20260525_014818_000049.jpg,200,image/jpeg;charset=UTF-8,1257,82,31
20260525_014819,data/raw/captcha_20260525_014819_000050.jpg,200,image/jpeg;charset=UTF-8,1372,82,31
20260525_014820,data/raw/captcha_20260525_014820_000051.jpg,200,image/jpeg;charset=UTF-8,1366,82,31
20260525_014821,data/raw/captcha_20260525_014821_000052.jpg,200,image/jpeg;charset=UTF-8,1331,82,31
20260525_014822,data/raw/captcha_20260525_014822_000053.jpg,200,image/jpeg;charset=UTF-8,1212,82,31
20260525_014823,data/raw/captcha_20260525_014823_000054.jpg,200,image/jpeg;charset=UTF-8,1300,82,31
20260525_014824,data/raw/captcha_20260525_014824_000055.jpg,200,image/jpeg;charset=UTF-8,1333,82,31
20260525_014825,data/raw/captcha_20260525_014825_000056.jpg,200,image/jpeg;charset=UTF-8,1367,82,31
20260525_014826,data/raw/captcha_20260525_014826_000057.jpg,200,image/jpeg;charset=UTF-8,1326,82,31
20260525_014827,data/raw/captcha_20260525_014827_000058.jpg,200,image/jpeg;charset=UTF-8,1236,82,31
20260525_014828,data/raw/captcha_20260525_014828_000059.jpg,200,image/jpeg;charset=UTF-8,1387,82,31
20260525_014829,data/raw/captcha_20260525_014829_000060.jpg,200,image/jpeg;charset=UTF-8,1372,82,31
20260525_014830,data/raw/captcha_20260525_014830_000061.jpg,200,image/jpeg;charset=UTF-8,1328,82,31
20260525_014831,data/raw/captcha_20260525_014831_000062.jpg,200,image/jpeg;charset=UTF-8,1232,82,31
20260525_014832,data/raw/captcha_20260525_014832_000063.jpg,200,image/jpeg;charset=UTF-8,1383,82,31
20260525_014833,data/raw/captcha_20260525_014833_000064.jpg,200,image/jpeg;charset=UTF-8,1374,82,31
20260525_014834,data/raw/captcha_20260525_014834_000065.jpg,200,image/jpeg;charset=UTF-8,1287,82,31
20260525_014835,data/raw/captcha_20260525_014835_000066.jpg,200,image/jpeg;charset=UTF-8,1240,82,31
20260525_014836,data/raw/captcha_20260525_014836_000067.jpg,200,image/jpeg;charset=UTF-8,1329,82,31
20260525_014837,data/raw/captcha_20260525_014837_000068.jpg,200,image/jpeg;charset=UTF-8,1342,82,31
20260525_014838,data/raw/captcha_20260525_014838_000069.jpg,200,image/jpeg;charset=UTF-8,1318,82,31
20260525_014839,data/raw/captcha_20260525_014839_000070.jpg,200,image/jpeg;charset=UTF-8,1172,82,31
20260525_014840,data/raw/captcha_20260525_014840_000071.jpg,200,image/jpeg;charset=UTF-8,1266,82,31
20260525_014841,data/raw/captcha_20260525_014841_000072.jpg,200,image/jpeg;charset=UTF-8,1248,82,31
20260525_014842,data/raw/captcha_20260525_014842_000073.jpg,200,image/jpeg;charset=UTF-8,1196,82,31
20260525_014843,data/raw/captcha_20260525_014843_000074.jpg,200,image/jpeg;charset=UTF-8,1319,82,31
20260525_014844,data/raw/captcha_20260525_014844_000075.jpg,200,image/jpeg;charset=UTF-8,1311,82,31
20260525_014845,data/raw/captcha_20260525_014845_000076.jpg,200,image/jpeg;charset=UTF-8,1273,82,31
20260525_014846,data/raw/captcha_20260525_014846_000077.jpg,200,image/jpeg;charset=UTF-8,1395,82,31
20260525_014847,data/raw/captcha_20260525_014847_000078.jpg,200,image/jpeg;charset=UTF-8,1311,82,31
20260525_014848,data/raw/captcha_20260525_014848_000079.jpg,200,image/jpeg;charset=UTF-8,1363,82,31
20260525_014849,data/raw/captcha_20260525_014849_000080.jpg,200,image/jpeg;charset=UTF-8,1370,82,31
20260525_014850,data/raw/captcha_20260525_014850_000081.jpg,200,image/jpeg;charset=UTF-8,1418,82,31
20260525_014851,data/raw/captcha_20260525_014851_000082.jpg,200,image/jpeg;charset=UTF-8,1207,82,31
20260525_014852,data/raw/captcha_20260525_014852_000083.jpg,200,image/jpeg;charset=UTF-8,1264,82,31
20260525_014853,data/raw/captcha_20260525_014853_000084.jpg,200,image/jpeg;charset=UTF-8,1179,82,31
20260525_014854,data/raw/captcha_20260525_014854_000085.jpg,200,image/jpeg;charset=UTF-8,1379,82,31
20260525_014855,data/raw/captcha_20260525_014855_000086.jpg,200,image/jpeg;charset=UTF-8,1316,82,31
20260525_014856,data/raw/captcha_20260525_014856_000087.jpg,200,image/jpeg;charset=UTF-8,1302,82,31
20260525_014857,data/raw/captcha_20260525_014857_000088.jpg,200,image/jpeg;charset=UTF-8,1207,82,31
